123^1^0^0^1^0^0^0^0^^^^9:00 PM^2:00 AM^$6 PBR & Beam Shot
123^1^0^0^0^1^0^0^0^^^^9:00 PM^2:00 AM^$4 Tullimore Irish Whiskey Shots
125^1^1^1^1^1^1^1^1^^^^4:00 PM^7:00 PM^$2 off draft Beers
126^1^1^1^1^1^1^0^0^^^^4:00 PM^7:00 PM^$1 off all taps
127^1^1^1^1^1^1^1^1^^^^5:00 PM^6:00 PM^
128^1^1^1^1^1^1^0^0^^^^4:00 PM^7:00 PM^$1 Off All Well Drinks and Draft Beers
129^1^1^1^1^1^1^0^0^^^^3:00 PM^7:00 PM^
130^1^1^1^1^1^0^0^0^^^^3:00 PM^7:00 PM^
130^1^0^0^0^0^1^1^0^^^^12:00 PM^7:00 PM^
130^1^0^0^0^0^0^0^1^^^^10:00 AM^7:00 PM^
132^1^1^1^1^1^1^1^1^^^^6:00 PM^7:00 PM^10 microbrews on draught for $3 Each
133^1^1^1^1^1^1^1^1^^^^5:00 PM^7:00 PM^
134^1^1^0^0^0^0^0^0^^^^5:00 PM^11:00 PM^50¢ Wings
135^1^1^1^1^1^0^0^0^^^^5:00 PM^10:00 PM^
135^1^0^0^0^0^1^0^0^^^^3:00 PM^10:00 PM^
136^1^1^1^1^1^1^0^0^^^^1:00 PM^7:00 PM^
137^1^1^1^1^1^1^0^0^^^^4:00 PM^7:00 PM^$3 Bottled beers & $4 well drinks
138^1^0^1^1^1^0^0^0^^^^3:00 PM^6:00 PM^$3 Bottles, $4 well cocktails, $5 select menu items
138^1^0^0^0^0^1^0^0^^^^11:00 AM^6:00 PM^$3 Bottles, $4 well cocktails, $5 select menu items
139^1^1^1^1^1^1^1^1^^^^3:00 PM^8:00 PM^
142^1^1^1^1^1^1^1^1^^^^3:00 PM^7:00 PM^$4 Beer and $5 Wine
143^1^1^1^1^1^1^1^1^^^^5:00 PM^7:00 PM^
143^1^1^1^1^1^1^1^1^^^^11:00 PM^11:30 PM^
144^1^0^1^0^0^0^0^0^^^^5:30 PM^8:30 PM^$6 Pinnacle Martini with Complimentary Meatballs
165^1^0^0^0^1^0^0^0^^^^5:30 PM^8:00 PM^
166^1^1^1^1^1^1^0^0^^^^5:00 PM^7:00 PM^
